Lamda,QE,Photon Energy
300,5.06E+01,4.133257
310,5.38E+01,3.999926
320,5.77E+01,3.874928
330,6.26E+01,3.757506
340,6.92E+01,3.646991
350,8.08E+01,3.542791
360,9.84E+01,3.444381
370,9.83E+01,3.351289
380,9.82E+01,3.263097
390,9.81E+01,3.179428
400,9.79E+01,3.099943
410,9.77E+01,3.024334
420,9.75E+01,2.952326
430,9.73E+01,2.883667
440,9.72E+01,2.81813
450,9.70E+01,2.755504
460,9.68E+01,2.695602
470,9.66E+01,2.638249
480,9.64E+01,2.583285
490,9.62E+01,2.530565
500,9.60E+01,2.479954
510,9.57E+01,2.431327
520,9.55E+01,2.384571
530,9.52E+01,2.339579
540,9.49E+01,2.296254
550,9.46E+01,2.254504
560,9.43E+01,2.214245
570,9.39E+01,2.175398
580,9.35E+01,2.137891
590,9.31E+01,2.101656
600,9.27E+01,2.066628
610,9.22E+01,2.032749
620,9.18E+01,1.999963
630,9.12E+01,1.968217
640,9.07E+01,1.937464
650,9.01E+01,1.907657
660,8.94E+01,1.878753
670,8.88E+01,1.850712
680,8.80E+01,1.823496
690,8.72E+01,1.797068
700,8.64E+01,1.771396
710,8.55E+01,1.746446
720,8.45E+01,1.72219
730,8.34E+01,1.698599
740,8.22E+01,1.675645
750,8.10E+01,1.653303
760,7.96E+01,1.631549
770,7.80E+01,1.61036
780,7.63E+01,1.589714
790,7.44E+01,1.569591
800,7.23E+01,1.549971
810,6.99E+01,1.530836
820,6.71E+01,1.512167
830,6.39E+01,1.493948
840,6.01E+01,1.476163
850,5.54E+01,1.458796
860,4.95E+01,1.441834
870,4.12E+01,1.425261
880,2.73E+01,1.409065
890,-8.58E-14,1.393233
900,7.80E-12,1.377752
